file,bars_N,avg_offdiag,rep_density,struct_entropy,block_coherence
temp_0.9_bars_32_003__barSSM_chroma_fs50.npy,32,0.7776910662651062,0.5870967741935483,6.117587089538574,0.22735953330993652
temp_0.9_bars_32_004__barSSM_chroma_fs50.npy,7,0.9266411662101746,1.0,2.7060275077819824,0.05425757169723511
temp_0.9_bars_32_005__barSSM_chroma_fs50.npy,13,0.5916902422904968,0.4393939393939394,3.994131088256836,0.6058738231658936
temp_0.9_bars_48_001__barSSM_chroma_fs50.npy,45,0.6614223122596741,0.4418604651162791,6.712998390197754,0.4990195631980896
temp_0.9_bars_48_002__barSSM_chroma_fs50.npy,47,0.5589786767959595,0.25217391304347825,6.817665100097656,0.28339070081710815
temp_0.9_bars_48_003__barSSM_chroma_fs50.npy,49,0.6181076169013977,0.3599290780141844,6.932116508483887,0.29235583543777466
temp_0.9_bars_48_004__barSSM_chroma_fs50.npy,49,0.5346804261207581,0.2650709219858156,6.789905548095703,0.5042243003845215
temp_0.9_bars_48_005__barSSM_chroma_fs50.npy,43,0.5377100706100464,0.3530778164924506,6.506250381469727,0.44006234407424927
temp_0.9_bars_64_001__barSSM_chroma_fs50.npy,26,0.45615440607070923,0.21,5.383517742156982,0.5951364636421204
temp_0.9_bars_64_002__barSSM_chroma_fs50.npy,64,0.5521498918533325,0.23809523809523808,7.470256805419922,0.31691157817840576
temp_0.9_bars_64_003__barSSM_chroma_fs50.npy,46,0.5738807320594788,0.18181818181818182,6.842291355133057,0.18870651721954346
temp_0.9_bars_64_004__barSSM_chroma_fs50.npy,63,0.579343318939209,0.2675832892649392,7.456849575042725,0.25948667526245117
temp_0.9_bars_64_005__barSSM_chroma_fs50.npy,24,0.7052279710769653,0.4782608695652174,5.472831726074219,0.3426356315612793
